pid,hourly_wage,bonus,overtime_rate
1055,59.22,208.85,71.64
381,62.88,285.35,60.35
1160,49.51,113.43,50.74
64,54.46,139.9,81.98
987,56.69,296.23,96.82
609,45.35,151.57,57.7
356,69.78,256.77,76.68
837,51.23,238.79,54.44
1182,56.99,174.73,92.93
638,50.36,281.56,90.28
320,56.61,164.24,98.82
886,50.39,244.85,63.01
383,51.15,161.13,73.2
871,66.99,218.23,95.21
607,56.23,137.28,98.79
1124,43.73,200.88,81.06
40,50.16,218.46,77.54
188,45.67,250.89,96.65
785,53.37,275.1,95.2
504,58.62,263.16,61.52
471,48.82,103.26,85.06
119,60.15,283.77,95.71
955,54.26,197.86,78.22
355,57.04,182.79,73.08
22,66.76,116.43,55.89
744,40.11,208.94,87.8
421,65.12,215.96,61.42
798,67.69,232.17,81.98
771,61.0,170.38,78.24
292,53.28,185.33,87.49
903,56.71,270.93,70.77
1087,47.93,163.16,69.45
767,56.98,178.72,96.65
867,41.23,259.26,72.74
676,54.74,203.94,82.08
343,61.76,252.08,64.22
953,57.98,243.42,99.29
1150,48.26,168.95,91.83
307,44.38,228.68,91.97
764,47.74,184.27,95.56
652,47.34,206.22,77.28
1196,48.8,193.11,66.65
995,43.84,219.59,71.41
647,60.83,237.63,60.61
242,46.26,228.26,96.32
43,62.07,152.73,75.73
329,44.12,163.45,65.33
1063,66.25,268.48,50.68
353,45.55,227.95,57.44
426,62.09,248.88,80.74
891,61.51,178.33,68.04
830,68.75,187.58,99.92
655,57.7,192.92,64.75
905,43.19,167.71,68.69
904,61.67,195.2,88.5
436,44.57,235.88,94.54
780,65.18,261.54,72.81
1103,45.21,288.32,86.24
956,64.72,118.9,57.36
150,68.06,276.57,78.93
846,44.51,259.55,75.94
836,54.66,297.42,71.27
380,66.52,256.29,72.07
173,65.98,163.66,97.84
499,47.03,158.12,70.52
306,63.66,248.44,89.83
419,55.77,104.74,82.09
763,60.36,123.0,54.7
95,58.57,292.63,60.92
105,43.99,105.42,95.42
135,56.16,102.57,82.06
1128,53.23,246.69,62.17
164,64.19,270.88,67.2
176,52.59,174.03,58.94
399,64.83,153.45,76.1
885,64.47,100.43,82.74
952,60.64,234.78,66.12
819,43.38,242.56,63.59
73,57.26,277.79,69.88
122,66.02,201.99,69.35
417,67.51,246.96,74.65
1102,49.04,296.24,84.08
832,43.42,287.67,59.84
1186,43.43,273.31,53.49
1073,43.47,257.72,87.99
673,46.68,250.09,70.98
761,63.82,170.79,84.81
704,48.91,155.8,87.34
1034,54.68,154.8,80.13
642,54.14,118.76,50.13
857,68.79,242.28,84.34
926,44.24,196.84,96.98
587,48.65,267.74,94.59
964,68.11,226.78,92.33
752,42.53,289.7,52.62
814,41.89,233.29,87.12
936,44.05,233.5,66.06
290,51.73,168.75,84.57
1184,44.2,276.1,90.89
300,51.77,224.24,91.13
603,53.85,116.39,90.86
756,46.98,190.48,50.24
491,55.34,122.12,79.72
37,63.45,123.03,58.43
569,60.46,151.56,55.31
1095,52.49,248.78,83.84
800,66.24,207.26,73.1
152,55.35,244.89,81.52
1094,67.25,277.91,51.12
411,57.93,272.81,60.67
613,50.54,136.82,88.16
299,50.99,205.1,76.49
786,48.36,219.84,96.96
641,49.87,143.52,87.87
960,59.22,147.15,81.22
1008,53.78,221.86,71.43
34,66.73,229.91,60.6
1174,67.02,224.52,71.91
731,60.49,213.27,84.07
374,54.41,170.35,85.06
1078,69.54,124.47,79.31
968,57.78,238.54,99.18
36,54.44,241.57,82.6
516,48.25,193.28,77.03
481,41.34,281.06,66.18
293,55.94,142.1,51.65
465,61.66,163.22,52.52
260,58.79,137.35,52.89
527,59.19,178.79,54.66
1076,58.33,260.73,58.8
446,47.6,206.94,50.98
1049,62.61,174.07,99.2
931,63.75,141.84,59.95
275,54.3,288.47,90.38
664,58.22,189.91,61.91
768,52.06,177.9,50.97
317,51.31,255.4,61.13
658,43.73,134.36,75.58
772,41.35,103.69,65.42
950,46.13,285.1,77.19
373,43.97,196.71,77.89
893,41.64,196.72,68.0
423,55.88,144.57,62.26
32,45.54,298.45,53.31
701,61.06,109.5,78.81
236,66.18,163.86,97.37
244,40.32,123.03,80.29
44,69.48,161.51,94.3
322,65.17,289.66,51.37
875,62.28,106.25,87.98
455,49.24,175.53,75.99
536,57.31,197.84,69.55
298,53.29,263.95,91.73
369,46.08,236.06,75.56
606,56.72,195.87,98.42
1067,61.48,168.05,53.65
1101,47.38,270.53,89.29
576,61.59,161.96,76.05
719,56.25,138.31,96.49
996,65.45,235.74,83.1
377,67.66,112.33,68.5
274,52.59,102.34,54.5
542,51.77,184.02,57.29
1026,54.96,244.23,86.44
1082,50.3,252.84,83.24
614,50.15,263.66,56.63
724,59.62,139.16,85.76
590,44.6,112.23,67.09
1023,49.98,216.76,67.05
517,42.48,237.37,55.05
1157,47.65,108.72,86.23
1060,64.8,191.29,62.1
600,40.86,180.66,64.22
865,67.36,230.23,90.62
468,57.2,140.72,90.75
1015,42.08,114.06,83.35
316,52.36,269.81,72.18
444,49.02,281.61,71.5
574,53.8,276.79,69.14
49,56.58,207.27,80.23
873,69.55,189.51,60.38
384,65.93,134.82,63.54
519,66.63,279.07,69.59
581,47.4,172.14,67.05
1169,56.39,203.24,92.74
211,52.8,175.2,50.94
4,48.7,184.5,86.12
500,62.52,289.73,98.67
877,48.83,279.34,82.88
149,50.99,201.14,84.8
268,61.15,106.7,84.73
24,44.73,170.74,92.29
605,59.8,291.57,88.71
872,51.48,281.07,50.71
730,41.55,151.78,56.98
805,67.46,219.48,93.69
350,60.92,100.95,56.97
11,40.48,108.16,99.39
817,42.04,283.32,57.35
163,64.23,109.02,71.8
941,43.13,266.37,80.97
115,61.22,215.15,72.72
338,57.07,218.2,69.59
1037,61.41,275.7,58.89
1189,69.21,264.41,66.45
685,45.96,112.78,73.45
959,65.66,156.26,63.19
1172,65.14,109.27,63.28
175,54.37,160.53,51.73
91,55.32,298.04,67.35
183,56.92,186.09,95.39
154,45.5,114.28,64.44
1162,45.3,228.97,70.74
577,45.11,150.41,66.29
2,48.17,165.36,88.37
1192,40.03,204.05,74.58
1,59.11,194.54,84.7
567,46.06,259.21,94.19
243,44.97,159.69,78.24
892,67.64,126.08,68.95
171,69.58,159.28,92.76
1064,51.45,247.69,54.03
1130,58.34,123.29,70.04
1011,48.37,113.14,56.04
231,64.51,116.74,50.57
908,47.12,291.25,65.12
961,53.39,107.28,85.84
629,59.12,113.29,98.9
906,50.8,158.7,56.27
358,50.24,236.45,73.55
494,60.05,205.19,74.3
5,63.6,186.07,56.85
1066,67.4,132.96,67.7
753,43.49,112.45,80.45
100,45.63,193.08,63.61
585,61.68,169.86,82.13
143,49.58,290.15,94.45
902,50.9,200.94,77.07
806,43.36,152.67,70.61
583,59.27,262.45,53.61
476,43.6,264.04,87.36
435,67.78,179.12,94.9
991,65.7,248.22,91.57
1167,54.37,194.92,67.12
20,62.14,235.26,95.4
1014,44.09,174.9,75.84
661,68.83,234.04,95.6
267,51.81,136.04,82.28
490,40.03,159.89,68.28
1043,53.5,251.49,91.22
1001,57.08,135.08,70.15
439,67.57,129.51,88.88
696,69.29,249.94,55.3
19,50.88,266.12,67.69
372,60.77,277.71,95.36
186,40.83,106.25,72.57
816,53.1,172.9,60.14
854,48.3,260.2,78.33
725,41.7,111.3,60.02
842,46.09,155.75,77.29
221,46.16,275.63,59.75
747,61.5,152.85,57.44
1163,48.19,289.03,82.1
486,46.58,196.86,67.57
245,48.13,267.28,62.71
1116,44.46,214.96,96.92
716,66.61,148.03,97.23
234,55.81,156.35,89.87
241,41.98,167.53,50.09
1069,66.45,176.96,99.89
562,42.01,250.5,91.88
258,60.6,161.88,98.91
1053,47.91,292.45,97.17
266,63.91,238.23,82.01
50,58.58,201.46,79.03
389,60.96,231.82,56.93
232,45.37,224.33,57.72
793,45.86,152.38,96.22
449,59.99,263.96,77.24
159,40.12,265.76,79.64
78,44.78,159.08,92.14
427,52.62,208.94,69.3
281,63.5,293.31,59.27
41,63.95,113.15,79.89
714,55.3,178.65,79.3
31,45.54,110.22,54.41
206,62.12,106.42,87.97
156,45.36,185.03,96.98
344,69.37,187.81,93.86
633,49.16,135.88,85.17
1030,54.32,281.06,99.67
76,61.0,145.29,85.83
855,55.73,158.77,90.64
226,58.99,129.02,83.36
537,55.41,168.93,53.35
781,61.48,196.82,92.17
899,46.36,256.36,76.25
1070,69.65,264.13,79.98
881,65.32,121.44,74.2
706,58.43,164.2,70.55
827,48.75,124.73,75.43
470,50.04,144.05,63.51
341,54.06,257.24,97.91
869,50.81,105.92,91.46
99,46.91,239.23,60.24
563,48.86,195.62,83.96
1109,48.87,252.62,96.02
932,54.16,141.85,55.46
117,50.53,213.69,87.56
840,44.82,111.95,72.05
1002,48.22,129.23,51.99
391,54.19,228.48,75.08
180,48.64,207.33,91.97
841,57.87,199.07,59.06
888,64.44,294.89,83.91
123,66.41,188.79,58.03
1158,64.66,223.09,63.79
72,40.0,142.61,92.05
672,62.67,229.08,50.28
834,41.04,289.98,60.38
1098,57.98,163.37,54.83
1062,55.42,297.34,73.59
495,69.48,130.4,56.56
526,50.22,101.65,80.17
220,48.05,167.85,66.19
215,52.21,105.15,66.1
413,67.51,179.93,75.29
327,44.17,296.58,96.11
937,64.45,242.74,97.15
1141,62.27,155.14,75.09
128,56.78,299.75,75.58
967,51.42,211.37,86.47
684,54.5,179.92,58.26
669,49.51,120.05,66.21
535,64.02,183.16,86.17
1180,49.73,140.84,65.98
153,66.06,284.27,86.52
361,43.93,194.89,87.32
472,43.81,157.75,95.22
1009,57.69,199.9,79.11
626,57.62,204.87,89.31
1099,55.39,210.19,51.17
178,63.79,272.93,66.69
112,59.25,181.21,66.73
750,41.84,197.35,95.67
333,44.07,214.17,76.77
844,58.64,137.17,67.08
663,50.51,224.55,84.22
713,68.51,244.26,66.88
1010,69.2,115.73,52.13
126,56.65,212.22,59.77
565,43.07,225.54,73.34
190,67.71,208.0,98.65
697,48.34,187.74,93.29
1027,60.0,122.53,92.57
643,48.08,279.9,67.66
824,61.29,152.68,72.88
890,52.27,232.79,91.52
165,64.1,233.16,75.32
692,69.3,223.51,71.31
707,67.38,195.76,96.09
496,69.45,241.3,51.29
958,44.79,229.48,73.98
1127,55.41,122.23,89.41
386,57.14,228.73,92.72
1019,63.33,243.97,96.75
201,60.47,122.59,80.95
868,52.94,155.7,78.74
80,49.15,211.07,80.34
467,44.82,200.29,96.11
390,43.54,274.93,59.33
7,42.1,213.56,93.54
944,53.77,150.37,89.87
801,50.19,279.36,55.03
208,56.81,192.49,92.7
1137,51.64,214.68,84.87
400,57.87,285.92,98.38
1032,55.4,135.97,61.39
822,61.73,251.43,84.68
365,43.34,192.34,89.72
396,62.56,179.66,55.57
487,66.48,109.92,99.52
511,40.06,178.5,82.61
489,63.01,157.52,72.22
96,57.04,248.05,83.0
635,52.64,259.11,63.18
270,56.9,264.67,56.53
45,43.52,153.93,54.54
295,66.99,230.15,50.91
191,49.16,298.56,67.95
240,69.76,123.44,96.89
1091,50.43,222.64,67.26
362,55.53,185.19,61.12
985,43.76,180.79,85.49
459,53.98,120.0,50.63
998,50.72,228.9,64.17
573,45.4,207.07,95.85
398,54.73,272.84,66.78
437,66.62,237.62,76.82
277,69.27,233.17,80.08
