pid,service_name,service_date_begin,service_end_date
261,Post-Construction Cleanup,2025-01-13,2025-01-15
261,Room Cleaning,2024-12-27,2024-12-30
261,Furniture Treatment,2024-12-25,2024-12-27
134,Carpet Shampooing,2025-01-23,2025-01-26
360,Furniture Treatment,2024-12-09,2024-12-11
628,Post-Construction Cleanup,2025-02-20,2025-02-22
628,Move-In Cleaning,2025-01-21,2025-01-23
628,Wall Washing,2025-02-05,2025-02-07
1048,Carpet Shampooing,2025-03-27,2025-03-29
257,Window Washing,2025-04-28,2025-04-29
257,Carpet Shampooing,2025-03-06,2025-03-08
257,Furniture Treatment,2025-02-21,2025-02-23
838,Post-Construction Cleanup,2025-03-29,2025-03-30
838,Bathroom Sanitizing,2025-01-29,2025-01-31
838,Window Washing,2024-11-07,2024-11-09
671,Furniture Treatment,2025-02-16,2025-02-18
568,Furniture Treatment,2025-05-08,2025-05-09
568,Deep Disinfection,2024-11-15,2024-11-18
376,Move-In Cleaning,2025-01-25,2025-01-28
187,Move-In Cleaning,2024-11-25,2024-11-28
187,Bathroom Sanitizing,2024-11-12,2024-11-15
187,Floor Polishing,2025-02-15,2025-02-17
739,Post-Construction Cleanup,2025-03-30,2025-04-01
739,Carpet Shampooing,2024-11-25,2024-11-27
291,Move-In Cleaning,2024-11-17,2024-11-18
103,Furniture Treatment,2025-02-02,2025-02-03
103,Floor Polishing,2025-01-22,2025-01-25
9,Window Washing,2025-04-17,2025-04-19
9,Floor Polishing,2024-11-24,2024-11-27
172,Furniture Treatment,2025-04-07,2025-04-08
172,Bathroom Sanitizing,2025-05-05,2025-05-06
66,Room Cleaning,2025-04-11,2025-04-14
598,Post-Construction Cleanup,2024-12-25,2024-12-28
224,Wall Washing,2025-02-13,2025-02-16
401,Window Washing,2025-02-13,2025-02-14
401,Bathroom Sanitizing,2025-02-23,2025-02-26
408,Wall Washing,2025-04-05,2025-04-07
408,Room Cleaning,2025-02-13,2025-02-14
408,Bathroom Sanitizing,2025-04-15,2025-04-16
741,Floor Polishing,2025-01-07,2025-01-08
741,Room Cleaning,2025-03-11,2025-03-12
741,Move-In Cleaning,2025-02-10,2025-02-12
632,Deep Disinfection,2024-11-09,2024-11-10
632,Carpet Shampooing,2024-12-08,2024-12-10
1092,Room Cleaning,2024-11-20,2024-11-21
1187,Floor Polishing,2025-04-19,2025-04-20
1187,Post-Construction Cleanup,2025-04-05,2025-04-06
1187,Move-In Cleaning,2024-12-10,2024-12-12
799,Move-In Cleaning,2025-03-11,2025-03-12
147,Floor Polishing,2025-01-12,2025-01-14
1042,Deep Disinfection,2025-02-08,2025-02-09
957,Post-Construction Cleanup,2025-02-19,2025-02-21
957,Move-In Cleaning,2024-11-30,2024-12-02
18,Window Washing,2025-04-22,2025-04-25
432,Deep Disinfection,2024-12-07,2024-12-08
432,Move-In Cleaning,2024-11-23,2024-11-26
901,Carpet Shampooing,2024-12-20,2024-12-22
901,Move-In Cleaning,2024-12-22,2024-12-24
1113,Furniture Treatment,2024-11-13,2024-11-14
1113,Window Washing,2024-11-25,2024-11-27
1113,Deep Disinfection,2025-04-08,2025-04-10
410,Bathroom Sanitizing,2025-05-02,2025-05-05
1044,Window Washing,2024-12-24,2024-12-27
1044,Carpet Shampooing,2024-12-21,2024-12-23
1044,Move-In Cleaning,2025-03-04,2025-03-05
199,Deep Disinfection,2024-12-16,2024-12-19
199,Wall Washing,2025-04-22,2025-04-23
84,Move-In Cleaning,2025-01-13,2025-01-15
282,Floor Polishing,2025-02-16,2025-02-18
282,Room Cleaning,2024-11-30,2024-12-01
1126,Move-In Cleaning,2025-02-13,2025-02-15
1126,Bathroom Sanitizing,2024-11-30,2024-12-01
1126,Furniture Treatment,2025-03-26,2025-03-28
717,Furniture Treatment,2025-01-15,2025-01-18
717,Floor Polishing,2025-01-20,2025-01-21
717,Bathroom Sanitizing,2024-11-23,2024-11-25
14,Furniture Treatment,2025-04-20,2025-04-21
14,Post-Construction Cleanup,2024-12-11,2024-12-12
14,Deep Disinfection,2025-03-29,2025-03-31
599,Move-In Cleaning,2025-04-27,2025-04-29
627,Bathroom Sanitizing,2024-11-07,2024-11-08
1193,Room Cleaning,2025-04-16,2025-04-17
1193,Bathroom Sanitizing,2024-11-25,2024-11-26
670,Room Cleaning,2025-01-05,2025-01-07
321,Room Cleaning,2025-04-16,2025-04-19
321,Post-Construction Cleanup,2024-12-22,2024-12-25
321,Deep Disinfection,2025-05-02,2025-05-05
916,Window Washing,2025-01-29,2025-01-31
916,Furniture Treatment,2025-02-27,2025-02-28
864,Furniture Treatment,2025-03-23,2025-03-25
864,Wall Washing,2025-03-31,2025-04-03
443,Room Cleaning,2025-03-12,2025-03-14
263,Post-Construction Cleanup,2024-11-12,2024-11-15
263,Floor Polishing,2025-02-05,2025-02-07
47,Wall Washing,2025-01-11,2025-01-13
47,Move-In Cleaning,2025-04-24,2025-04-27
453,Move-In Cleaning,2025-04-03,2025-04-05
453,Carpet Shampooing,2025-01-03,2025-01-04
1144,Deep Disinfection,2025-01-17,2025-01-18
1144,Furniture Treatment,2025-02-18,2025-02-21
1144,Carpet Shampooing,2025-01-20,2025-01-21
757,Carpet Shampooing,2024-11-20,2024-11-23
131,Bathroom Sanitizing,2025-02-26,2025-03-01
334,Wall Washing,2025-02-28,2025-03-03
334,Room Cleaning,2025-04-03,2025-04-06
334,Window Washing,2025-02-25,2025-02-26
668,Furniture Treatment,2025-01-09,2025-01-11
668,Bathroom Sanitizing,2025-03-30,2025-03-31
668,Window Washing,2024-11-21,2024-11-23
138,Wall Washing,2025-03-19,2025-03-22
138,Post-Construction Cleanup,2025-03-30,2025-03-31
138,Bathroom Sanitizing,2025-03-03,2025-03-06
720,Window Washing,2025-04-30,2025-05-01
720,Floor Polishing,2025-04-21,2025-04-22
754,Window Washing,2024-12-27,2024-12-28
754,Move-In Cleaning,2025-02-14,2025-02-15
478,Wall Washing,2025-01-25,2025-01-28
478,Floor Polishing,2025-02-17,2025-02-19
478,Bathroom Sanitizing,2025-02-24,2025-02-27
168,Post-Construction Cleanup,2025-01-04,2025-01-06
777,Room Cleaning,2024-11-17,2024-11-20
777,Move-In Cleaning,2025-02-23,2025-02-25
524,Furniture Treatment,2025-03-26,2025-03-27
524,Move-In Cleaning,2024-11-16,2024-11-19
524,Floor Polishing,2025-03-20,2025-03-22
579,Post-Construction Cleanup,2025-02-11,2025-02-12
579,Furniture Treatment,2024-11-11,2024-11-14
579,Wall Washing,2025-03-21,2025-03-22
529,Furniture Treatment,2025-03-27,2025-03-29
28,Wall Washing,2025-01-22,2025-01-24
912,Bathroom Sanitizing,2025-03-07,2025-03-08
925,Bathroom Sanitizing,2024-11-08,2024-11-11
925,Room Cleaning,2025-03-25,2025-03-28
925,Deep Disinfection,2025-03-18,2025-03-19
986,Window Washing,2024-12-07,2024-12-09
1151,Move-In Cleaning,2025-03-19,2025-03-21
1151,Furniture Treatment,2025-03-08,2025-03-10
1151,Window Washing,2024-12-20,2024-12-21
10,Bathroom Sanitizing,2025-05-03,2025-05-05
10,Move-In Cleaning,2025-03-19,2025-03-20
10,Room Cleaning,2024-12-19,2024-12-22
723,Bathroom Sanitizing,2024-12-07,2024-12-08
723,Window Washing,2025-02-10,2025-02-13
723,Post-Construction Cleanup,2024-11-09,2024-11-10
1140,Room Cleaning,2025-04-22,2025-04-24
1140,Carpet Shampooing,2025-02-22,2025-02-24
589,Furniture Treatment,2024-11-23,2024-11-26
862,Room Cleaning,2025-05-07,2025-05-09
615,Post-Construction Cleanup,2025-02-16,2025-02-18
1052,Room Cleaning,2024-12-05,2024-12-07
1052,Deep Disinfection,2025-03-10,2025-03-12
645,Wall Washing,2025-03-16,2025-03-19
645,Post-Construction Cleanup,2025-01-09,2025-01-11
698,Bathroom Sanitizing,2025-02-01,2025-02-03
698,Floor Polishing,2025-04-23,2025-04-25
698,Post-Construction Cleanup,2025-05-01,2025-05-02
371,Window Washing,2024-11-18,2024-11-19
371,Floor Polishing,2025-04-29,2025-04-30
1012,Deep Disinfection,2025-04-23,2025-04-24
1108,Post-Construction Cleanup,2025-01-20,2025-01-22
965,Window Washing,2025-05-03,2025-05-04
965,Post-Construction Cleanup,2025-02-24,2025-02-26
179,Room Cleaning,2024-12-09,2024-12-10
179,Deep Disinfection,2024-11-09,2024-11-11
348,Carpet Shampooing,2025-01-24,2025-01-26
13,Carpet Shampooing,2025-04-04,2025-04-06
484,Floor Polishing,2025-04-03,2025-04-05
484,Deep Disinfection,2025-01-04,2025-01-06
59,Floor Polishing,2024-11-08,2024-11-11
59,Furniture Treatment,2025-05-08,2025-05-11
458,Furniture Treatment,2025-02-22,2025-02-24
458,Deep Disinfection,2025-01-17,2025-01-19
458,Post-Construction Cleanup,2024-12-23,2024-12-24
237,Post-Construction Cleanup,2025-01-05,2025-01-06
1074,Room Cleaning,2025-03-30,2025-03-31
493,Bathroom Sanitizing,2025-03-22,2025-03-23
876,Floor Polishing,2025-04-07,2025-04-08
876,Room Cleaning,2025-02-06,2025-02-08
876,Carpet Shampooing,2025-04-01,2025-04-04
30,Room Cleaning,2025-03-06,2025-03-08
30,Furniture Treatment,2025-02-28,2025-03-01
30,Window Washing,2025-04-06,2025-04-07
894,Wall Washing,2025-02-19,2025-02-20
789,Deep Disinfection,2025-04-28,2025-04-29
657,Floor Polishing,2024-12-11,2024-12-14
657,Carpet Shampooing,2024-11-15,2024-11-16
657,Window Washing,2024-12-15,2024-12-18
682,Deep Disinfection,2025-03-23,2025-03-26
743,Room Cleaning,2025-01-10,2025-01-13
743,Deep Disinfection,2025-01-17,2025-01-19
397,Wall Washing,2025-02-03,2025-02-06
397,Furniture Treatment,2025-04-06,2025-04-08
8,Furniture Treatment,2025-03-10,2025-03-12
77,Room Cleaning,2025-03-20,2025-03-22
77,Furniture Treatment,2025-05-02,2025-05-05
77,Bathroom Sanitizing,2025-01-18,2025-01-19
940,Furniture Treatment,2024-11-29,2024-11-30
940,Window Washing,2025-01-23,2025-01-24
213,Post-Construction Cleanup,2025-05-04,2025-05-06
213,Move-In Cleaning,2025-01-27,2025-01-30
213,Room Cleaning,2025-04-05,2025-04-08
915,Carpet Shampooing,2025-03-12,2025-03-13
915,Post-Construction Cleanup,2024-11-19,2024-11-22
915,Deep Disinfection,2024-12-25,2024-12-28
1133,Room Cleaning,2025-01-13,2025-01-16
1133,Wall Washing,2025-03-09,2025-03-10
1197,Move-In Cleaning,2025-04-06,2025-04-07
1197,Wall Washing,2025-01-24,2025-01-25
689,Room Cleaning,2025-03-31,2025-04-02
656,Floor Polishing,2025-04-10,2025-04-11
512,Carpet Shampooing,2025-02-15,2025-02-16
733,Floor Polishing,2024-12-06,2024-12-08
733,Wall Washing,2025-02-18,2025-02-19
83,Deep Disinfection,2025-05-07,2025-05-08
83,Carpet Shampooing,2025-01-20,2025-01-21
83,Move-In Cleaning,2025-04-01,2025-04-03
475,Move-In Cleaning,2025-04-08,2025-04-11
651,Post-Construction Cleanup,2024-12-16,2024-12-17
651,Deep Disinfection,2024-12-04,2024-12-06
651,Move-In Cleaning,2025-01-31,2025-02-01
997,Furniture Treatment,2024-12-19,2024-12-20
749,Deep Disinfection,2024-12-17,2024-12-19
1065,Furniture Treatment,2025-03-12,2025-03-13
1065,Floor Polishing,2025-05-01,2025-05-03
1065,Room Cleaning,2025-01-31,2025-02-03
35,Furniture Treatment,2025-03-19,2025-03-20
35,Deep Disinfection,2025-04-22,2025-04-24
35,Post-Construction Cleanup,2025-03-01,2025-03-04
851,Carpet Shampooing,2025-04-17,2025-04-19
1153,Bathroom Sanitizing,2025-04-23,2025-04-26
502,Move-In Cleaning,2025-01-20,2025-01-23
502,Room Cleaning,2025-05-04,2025-05-07
1100,Window Washing,2024-12-12,2024-12-13
1100,Carpet Shampooing,2024-12-08,2024-12-11
803,Post-Construction Cleanup,2025-02-02,2025-02-05
803,Floor Polishing,2025-04-20,2025-04-22
803,Deep Disinfection,2024-11-16,2024-11-18
26,Wall Washing,2024-12-09,2024-12-12
26,Furniture Treatment,2025-01-01,2025-01-04
26,Post-Construction Cleanup,2025-03-19,2025-03-22
782,Bathroom Sanitizing,2025-04-17,2025-04-20
782,Carpet Shampooing,2025-03-16,2025-03-18
402,Carpet Shampooing,2024-11-14,2024-11-17
402,Wall Washing,2024-11-21,2024-11-22
402,Post-Construction Cleanup,2025-01-11,2025-01-12
639,Carpet Shampooing,2025-03-16,2025-03-18
1183,Deep Disinfection,2025-03-11,2025-03-12
303,Wall Washing,2025-03-29,2025-04-01
303,Window Washing,2025-04-17,2025-04-19
1138,Deep Disinfection,2025-02-09,2025-02-12
1138,Wall Washing,2024-12-16,2024-12-18
1138,Floor Polishing,2025-01-09,2025-01-11
1164,Room Cleaning,2025-02-02,2025-02-05
60,Wall Washing,2025-02-02,2025-02-05
766,Room Cleaning,2025-04-10,2025-04-12
1003,Wall Washing,2025-02-20,2025-02-23
1003,Move-In Cleaning,2025-03-27,2025-03-30
1003,Deep Disinfection,2025-01-02,2025-01-03
379,Deep Disinfection,2024-12-14,2024-12-15
379,Wall Washing,2025-03-07,2025-03-09
305,Floor Polishing,2024-12-10,2024-12-13
305,Carpet Shampooing,2025-04-21,2025-04-24
305,Post-Construction Cleanup,2025-01-15,2025-01-17
158,Bathroom Sanitizing,2025-03-19,2025-03-22
158,Carpet Shampooing,2025-01-15,2025-01-17
158,Post-Construction Cleanup,2025-02-18,2025-02-20
296,Room Cleaning,2024-12-13,2024-12-15
296,Floor Polishing,2024-11-20,2024-11-23
296,Deep Disinfection,2024-11-13,2024-11-15
1061,Move-In Cleaning,2025-01-20,2025-01-22
1061,Carpet Shampooing,2024-11-18,2024-11-19
167,Bathroom Sanitizing,2025-02-09,2025-02-10
289,Room Cleaning,2024-11-12,2024-11-14
289,Post-Construction Cleanup,2024-11-15,2024-11-17
225,Post-Construction Cleanup,2025-01-26,2025-01-29
225,Wall Washing,2025-01-22,2025-01-25
225,Bathroom Sanitizing,2025-04-18,2025-04-21
919,Move-In Cleaning,2025-01-10,2025-01-13
919,Bathroom Sanitizing,2025-05-01,2025-05-03
919,Window Washing,2025-02-22,2025-02-25
859,Move-In Cleaning,2025-02-10,2025-02-13
859,Window Washing,2025-02-28,2025-03-03
983,Post-Construction Cleanup,2025-04-18,2025-04-20
983,Room Cleaning,2025-04-28,2025-04-29
983,Move-In Cleaning,2024-12-24,2024-12-27
728,Carpet Shampooing,2025-04-30,2025-05-01
406,Move-In Cleaning,2025-03-10,2025-03-11
735,Floor Polishing,2025-02-25,2025-02-28
735,Bathroom Sanitizing,2024-12-06,2024-12-07
218,Room Cleaning,2025-03-15,2025-03-17
1134,Furniture Treatment,2024-11-22,2024-11-24
1134,Window Washing,2025-03-11,2025-03-13
945,Bathroom Sanitizing,2025-03-16,2025-03-19
945,Window Washing,2025-05-07,2025-05-09
945,Post-Construction Cleanup,2025-01-08,2025-01-09
160,Wall Washing,2025-03-16,2025-03-17
124,Room Cleaning,2025-04-03,2025-04-06
124,Deep Disinfection,2024-11-27,2024-11-28
124,Bathroom Sanitizing,2025-04-24,2025-04-27
330,Furniture Treatment,2025-04-15,2025-04-18
1104,Carpet Shampooing,2025-03-05,2025-03-08
1104,Deep Disinfection,2024-11-13,2024-11-14
1104,Post-Construction Cleanup,2024-11-21,2024-11-22
591,Deep Disinfection,2025-02-22,2025-02-25
760,Deep Disinfection,2025-04-09,2025-04-11
760,Furniture Treatment,2025-01-17,2025-01-19
760,Window Washing,2025-02-13,2025-02-16
25,Window Washing,2025-01-03,2025-01-06
25,Carpet Shampooing,2025-03-06,2025-03-08
951,Floor Polishing,2024-12-09,2024-12-12
951,Furniture Treatment,2025-04-05,2025-04-07
951,Move-In Cleaning,2025-02-03,2025-02-06
1148,Bathroom Sanitizing,2025-01-20,2025-01-22
1148,Floor Polishing,2024-12-21,2024-12-24
151,Window Washing,2024-12-25,2024-12-26
318,Deep Disinfection,2025-01-29,2025-01-30
318,Room Cleaning,2025-03-28,2025-03-31
271,Post-Construction Cleanup,2025-02-10,2025-02-13
271,Deep Disinfection,2024-12-03,2024-12-05
271,Bathroom Sanitizing,2025-04-19,2025-04-21
1121,Carpet Shampooing,2024-11-28,2024-11-30
710,Furniture Treatment,2025-04-11,2025-04-12
982,Furniture Treatment,2024-12-29,2024-12-31
982,Window Washing,2025-03-31,2025-04-03
1088,Furniture Treatment,2025-02-16,2025-02-19
1088,Post-Construction Cleanup,2025-05-02,2025-05-05
889,Furniture Treatment,2024-12-18,2024-12-20
889,Move-In Cleaning,2025-03-10,2025-03-11
889,Deep Disinfection,2025-01-02,2025-01-03
233,Wall Washing,2025-01-21,2025-01-22
233,Floor Polishing,2025-02-23,2025-02-26
802,Deep Disinfection,2025-03-31,2025-04-02
802,Bathroom Sanitizing,2025-04-15,2025-04-18
802,Wall Washing,2024-12-02,2024-12-04
533,Room Cleaning,2025-02-07,2025-02-08
533,Move-In Cleaning,2024-11-30,2024-12-03
200,Bathroom Sanitizing,2025-03-02,2025-03-03
200,Room Cleaning,2025-04-27,2025-04-28
109,Deep Disinfection,2024-11-15,2024-11-18
109,Floor Polishing,2025-01-07,2025-01-10
137,Carpet Shampooing,2024-12-26,2024-12-29
137,Move-In Cleaning,2025-03-10,2025-03-11
137,Window Washing,2024-11-13,2024-11-15
403,Room Cleaning,2025-02-24,2025-02-27
403,Deep Disinfection,2025-01-01,2025-01-03
403,Wall Washing,2025-02-14,2025-02-15
116,Wall Washing,2025-02-06,2025-02-08
116,Post-Construction Cleanup,2025-02-23,2025-02-24
116,Move-In Cleaning,2025-02-12,2025-02-13
1079,Deep Disinfection,2024-12-16,2024-12-18
1079,Carpet Shampooing,2024-11-09,2024-11-10
1079,Room Cleaning,2024-12-27,2024-12-29
501,Post-Construction Cleanup,2024-11-28,2024-12-01
302,Carpet Shampooing,2025-02-24,2025-02-25
302,Furniture Treatment,2025-04-07,2025-04-08
302,Post-Construction Cleanup,2025-01-03,2025-01-06
711,Window Washing,2025-02-15,2025-02-16
711,Room Cleaning,2025-04-14,2025-04-16
791,Bathroom Sanitizing,2025-01-26,2025-01-27
288,Window Washing,2024-11-23,2024-11-24
288,Deep Disinfection,2025-02-26,2025-02-27
288,Wall Washing,2024-11-30,2024-12-02
762,Post-Construction Cleanup,2024-12-06,2024-12-09
762,Furniture Treatment,2025-01-13,2025-01-14
1112,Bathroom Sanitizing,2025-04-18,2025-04-20
1038,Carpet Shampooing,2025-01-15,2025-01-17
1038,Room Cleaning,2025-04-07,2025-04-08
230,Wall Washing,2025-01-07,2025-01-08
136,Move-In Cleaning,2024-12-16,2024-12-18
445,Room Cleaning,2024-12-11,2024-12-13
445,Window Washing,2024-12-17,2024-12-18
445,Bathroom Sanitizing,2025-04-23,2025-04-25
896,Floor Polishing,2025-02-01,2025-02-04
896,Deep Disinfection,2025-03-03,2025-03-05
1021,Deep Disinfection,2025-01-12,2025-01-14
1021,Floor Polishing,2024-12-27,2024-12-29
82,Post-Construction Cleanup,2025-04-22,2025-04-24
82,Move-In Cleaning,2025-04-23,2025-04-26
141,Floor Polishing,2024-11-15,2024-11-16
141,Deep Disinfection,2025-03-26,2025-03-28
482,Bathroom Sanitizing,2025-05-03,2025-05-04
734,Deep Disinfection,2024-12-15,2024-12-18
734,Wall Washing,2025-04-11,2025-04-13
700,Carpet Shampooing,2025-04-29,2025-04-30
611,Floor Polishing,2025-03-29,2025-04-01
611,Window Washing,2024-12-30,2024-12-31
287,Wall Washing,2025-02-24,2025-02-26
287,Floor Polishing,2025-01-01,2025-01-03
287,Carpet Shampooing,2024-12-07,2024-12-09
980,Floor Polishing,2025-02-26,2025-03-01
980,Bathroom Sanitizing,2025-01-28,2025-01-29
980,Post-Construction Cleanup,2025-01-27,2025-01-29
1131,Deep Disinfection,2025-05-01,2025-05-03
