pid,service_name,service_date_begin,service_end_date
238,Carpet Shampooing,2025-01-25,2025-01-27
238,Floor Polishing,2025-01-22,2025-01-23
1072,Carpet Shampooing,2025-02-19,2025-02-21
1000,Floor Polishing,2025-02-12,2025-02-14
1000,Move-In Cleaning,2025-02-20,2025-02-22
265,Room Cleaning,2025-03-06,2025-03-09
265,Post-Construction Cleanup,2025-02-10,2025-02-11
265,Carpet Shampooing,2025-04-09,2025-04-12
712,Carpet Shampooing,2024-11-23,2024-11-24
182,Floor Polishing,2025-03-13,2025-03-16
182,Window Washing,2025-01-21,2025-01-24
722,Move-In Cleaning,2025-02-22,2025-02-23
139,Wall Washing,2025-04-21,2025-04-23
286,Carpet Shampooing,2025-03-12,2025-03-13
286,Deep Disinfection,2025-04-20,2025-04-23
286,Wall Washing,2025-03-01,2025-03-02
256,Deep Disinfection,2025-05-05,2025-05-06
256,Floor Polishing,2025-03-30,2025-03-31
256,Window Washing,2025-04-30,2025-05-01
1084,Bathroom Sanitizing,2025-02-03,2025-02-04
1084,Floor Polishing,2024-11-12,2024-11-14
1084,Wall Washing,2024-11-25,2024-11-27
666,Move-In Cleaning,2024-11-07,2024-11-08
666,Wall Washing,2025-04-25,2025-04-26
1028,Carpet Shampooing,2025-02-25,2025-02-28
1028,Bathroom Sanitizing,2025-03-10,2025-03-13
918,Window Washing,2025-05-01,2025-05-02
918,Post-Construction Cleanup,2025-04-07,2025-04-10
918,Furniture Treatment,2025-04-26,2025-04-27
204,Carpet Shampooing,2025-03-11,2025-03-13
833,Floor Polishing,2024-11-09,2024-11-10
833,Room Cleaning,2025-02-26,2025-02-28
770,Move-In Cleaning,2025-02-23,2025-02-26
770,Post-Construction Cleanup,2025-03-09,2025-03-12
708,Deep Disinfection,2024-11-10,2024-11-13
1033,Carpet Shampooing,2024-12-21,2024-12-23
75,Move-In Cleaning,2025-02-27,2025-02-28
572,Carpet Shampooing,2025-04-18,2025-04-21
1123,Post-Construction Cleanup,2025-01-19,2025-01-21
1123,Bathroom Sanitizing,2025-02-23,2025-02-24
174,Deep Disinfection,2025-03-21,2025-03-23
174,Wall Washing,2024-11-24,2024-11-25
88,Window Washing,2025-04-05,2025-04-06
88,Move-In Cleaning,2024-12-06,2024-12-09
88,Wall Washing,2025-01-01,2025-01-02
170,Carpet Shampooing,2025-01-14,2025-01-15
170,Deep Disinfection,2025-01-07,2025-01-09
170,Furniture Treatment,2024-12-14,2024-12-17
1161,Move-In Cleaning,2025-03-10,2025-03-11
1161,Furniture Treatment,2025-02-05,2025-02-08
110,Window Washing,2025-02-24,2025-02-25
110,Floor Polishing,2025-01-14,2025-01-15
718,Deep Disinfection,2025-01-20,2025-01-21
849,Room Cleaning,2024-12-23,2024-12-24
849,Wall Washing,2024-11-27,2024-11-28
310,Post-Construction Cleanup,2025-02-24,2025-02-25
310,Move-In Cleaning,2025-02-05,2025-02-08
310,Wall Washing,2024-12-29,2025-01-01
677,Floor Polishing,2025-02-23,2025-02-25
677,Post-Construction Cleanup,2024-12-06,2024-12-08
934,Bathroom Sanitizing,2025-01-13,2025-01-16
130,Post-Construction Cleanup,2024-11-19,2024-11-22
695,Move-In Cleaning,2024-11-18,2024-11-19
301,Move-In Cleaning,2024-11-15,2024-11-17
301,Bathroom Sanitizing,2025-04-10,2025-04-13
301,Room Cleaning,2024-11-08,2024-11-11
212,Bathroom Sanitizing,2025-02-04,2025-02-05
691,Furniture Treatment,2025-04-24,2025-04-26
388,Carpet Shampooing,2024-11-25,2024-11-28
58,Move-In Cleaning,2025-05-03,2025-05-06
58,Room Cleaning,2025-05-02,2025-05-05
58,Floor Polishing,2024-12-25,2024-12-28
928,Move-In Cleaning,2025-01-14,2025-01-16
928,Deep Disinfection,2025-01-26,2025-01-27
1111,Room Cleaning,2025-03-26,2025-03-27
1111,Move-In Cleaning,2025-01-12,2025-01-14
858,Bathroom Sanitizing,2024-12-16,2024-12-17
858,Room Cleaning,2025-04-08,2025-04-09
709,Bathroom Sanitizing,2024-11-12,2024-11-14
709,Floor Polishing,2025-03-08,2025-03-11
709,Room Cleaning,2025-05-06,2025-05-07
637,Deep Disinfection,2025-01-30,2025-02-02
1185,Wall Washing,2025-03-04,2025-03-06
1185,Deep Disinfection,2024-11-24,2024-11-25
1185,Room Cleaning,2025-04-26,2025-04-27
540,Floor Polishing,2024-11-23,2024-11-26
1057,Wall Washing,2024-11-11,2024-11-13
616,Carpet Shampooing,2025-03-08,2025-03-09
251,Bathroom Sanitizing,2025-02-08,2025-02-10
251,Wall Washing,2025-02-08,2025-02-11
251,Room Cleaning,2025-01-06,2025-01-08
1195,Move-In Cleaning,2025-01-23,2025-01-25
1195,Post-Construction Cleanup,2025-03-07,2025-03-10
900,Post-Construction Cleanup,2025-01-31,2025-02-03
900,Window Washing,2025-04-26,2025-04-28
1139,Move-In Cleaning,2025-04-21,2025-04-24
1139,Post-Construction Cleanup,2025-03-06,2025-03-09
1156,Wall Washing,2025-04-29,2025-05-01
1156,Move-In Cleaning,2024-12-12,2024-12-13
580,Deep Disinfection,2025-01-31,2025-02-03
580,Room Cleaning,2024-11-27,2024-11-28
580,Furniture Treatment,2025-02-20,2025-02-22
515,Deep Disinfection,2025-02-27,2025-03-02
765,Move-In Cleaning,2025-01-06,2025-01-09
765,Deep Disinfection,2025-04-16,2025-04-19
765,Room Cleaning,2024-12-08,2024-12-10
825,Floor Polishing,2025-04-27,2025-04-28
825,Post-Construction Cleanup,2024-11-29,2024-11-30
825,Room Cleaning,2025-03-23,2025-03-24
850,Deep Disinfection,2025-03-23,2025-03-24
584,Furniture Treatment,2024-12-10,2024-12-13
584,Window Washing,2025-03-12,2025-03-14
584,Deep Disinfection,2025-03-29,2025-03-30
699,Floor Polishing,2024-11-25,2024-11-28
460,Move-In Cleaning,2024-12-22,2024-12-25
460,Wall Washing,2025-03-03,2025-03-06
460,Bathroom Sanitizing,2025-02-21,2025-02-24
474,Wall Washing,2025-04-06,2025-04-09
278,Wall Washing,2025-03-29,2025-03-31
278,Post-Construction Cleanup,2024-12-23,2024-12-25
278,Deep Disinfection,2025-04-03,2025-04-05
323,Room Cleaning,2024-12-12,2024-12-14
323,Deep Disinfection,2024-11-07,2024-11-09
323,Floor Polishing,2025-03-18,2025-03-19
498,Window Washing,2025-03-07,2025-03-08
498,Bathroom Sanitizing,2025-01-23,2025-01-26
498,Carpet Shampooing,2025-02-13,2025-02-14
314,Carpet Shampooing,2025-04-24,2025-04-26
845,Bathroom Sanitizing,2025-02-22,2025-02-24
845,Deep Disinfection,2025-01-15,2025-01-17
845,Move-In Cleaning,2024-11-29,2024-11-30
319,Post-Construction Cleanup,2025-02-08,2025-02-10
319,Deep Disinfection,2024-12-13,2024-12-15
319,Bathroom Sanitizing,2025-01-31,2025-02-03
326,Wall Washing,2024-12-15,2024-12-16
326,Post-Construction Cleanup,2025-02-03,2025-02-05
326,Furniture Treatment,2025-02-26,2025-02-27
101,Wall Washing,2024-12-12,2024-12-13
101,Furniture Treatment,2025-01-26,2025-01-29
101,Carpet Shampooing,2025-04-24,2025-04-27
146,Wall Washing,2024-12-18,2024-12-19
146,Carpet Shampooing,2025-04-16,2025-04-18
255,Carpet Shampooing,2024-11-11,2024-11-14
612,Deep Disinfection,2025-01-07,2025-01-10
612,Post-Construction Cleanup,2025-01-12,2025-01-13
1194,Room Cleaning,2025-03-06,2025-03-07
1194,Deep Disinfection,2025-01-11,2025-01-13
1194,Post-Construction Cleanup,2024-12-02,2024-12-05
815,Window Washing,2025-04-06,2025-04-07
815,Furniture Treatment,2025-03-03,2025-03-04
815,Carpet Shampooing,2025-04-22,2025-04-25
564,Room Cleaning,2025-05-08,2025-05-11
610,Floor Polishing,2025-01-25,2025-01-27
610,Wall Washing,2024-12-21,2024-12-22
610,Deep Disinfection,2025-05-02,2025-05-04
195,Post-Construction Cleanup,2025-03-11,2025-03-12
195,Move-In Cleaning,2025-02-22,2025-02-25
546,Post-Construction Cleanup,2024-11-13,2024-11-15
546,Move-In Cleaning,2025-04-21,2025-04-24
546,Window Washing,2025-02-28,2025-03-01
675,Post-Construction Cleanup,2025-05-01,2025-05-02
675,Carpet Shampooing,2025-05-06,2025-05-08
675,Floor Polishing,2025-04-22,2025-04-23
466,Move-In Cleaning,2025-02-18,2025-02-21
621,Move-In Cleaning,2025-02-26,2025-03-01
114,Move-In Cleaning,2024-11-29,2024-11-30
114,Carpet Shampooing,2024-11-25,2024-11-26
1046,Room Cleaning,2025-04-08,2025-04-10
1046,Furniture Treatment,2025-02-25,2025-02-26
514,Move-In Cleaning,2025-03-28,2025-03-31
514,Bathroom Sanitizing,2025-05-05,2025-05-08
514,Floor Polishing,2024-12-03,2024-12-04
367,Wall Washing,2025-03-23,2025-03-25
367,Bathroom Sanitizing,2025-03-16,2025-03-18
166,Wall Washing,2024-11-17,2024-11-18
166,Furniture Treatment,2025-02-16,2025-02-19
559,Post-Construction Cleanup,2025-03-25,2025-03-26
649,Furniture Treatment,2025-04-18,2025-04-21
630,Move-In Cleaning,2024-12-28,2024-12-31
630,Post-Construction Cleanup,2025-02-15,2025-02-16
630,Wall Washing,2025-01-04,2025-01-07
878,Furniture Treatment,2025-05-07,2025-05-10
878,Floor Polishing,2024-12-07,2024-12-08
878,Move-In Cleaning,2025-01-29,2025-01-30
332,Deep Disinfection,2025-01-11,2025-01-13
332,Bathroom Sanitizing,2024-12-22,2024-12-23
640,Bathroom Sanitizing,2025-03-27,2025-03-29
640,Move-In Cleaning,2025-02-02,2025-02-05
252,Wall Washing,2024-12-13,2024-12-16
252,Furniture Treatment,2025-02-11,2025-02-13
252,Bathroom Sanitizing,2025-04-10,2025-04-12
162,Room Cleaning,2025-05-03,2025-05-05
162,Move-In Cleaning,2025-01-01,2025-01-04
162,Bathroom Sanitizing,2024-11-30,2024-12-02
1181,Window Washing,2025-04-10,2025-04-13
1199,Post-Construction Cleanup,2024-11-07,2024-11-09
1199,Wall Washing,2025-05-08,2025-05-10
541,Post-Construction Cleanup,2025-02-25,2025-02-28
541,Window Washing,2024-11-25,2024-11-28
520,Floor Polishing,2025-04-24,2025-04-26
813,Deep Disinfection,2025-04-23,2025-04-26
813,Floor Polishing,2024-11-27,2024-11-28
813,Carpet Shampooing,2025-02-28,2025-03-03
578,Move-In Cleaning,2025-03-14,2025-03-15
578,Post-Construction Cleanup,2024-12-15,2024-12-18
578,Window Washing,2025-04-15,2025-04-16
551,Move-In Cleaning,2024-12-16,2024-12-18
454,Post-Construction Cleanup,2024-12-05,2024-12-08
454,Floor Polishing,2024-12-02,2024-12-03
62,Furniture Treatment,2025-03-08,2025-03-09
62,Room Cleaning,2025-01-27,2025-01-28
209,Floor Polishing,2025-03-20,2025-03-23
554,Window Washing,2025-04-25,2025-04-27
57,Post-Construction Cleanup,2025-02-07,2025-02-09
57,Bathroom Sanitizing,2025-01-14,2025-01-17
57,Window Washing,2025-03-12,2025-03-15
46,Window Washing,2025-02-18,2025-02-19
46,Carpet Shampooing,2025-03-19,2025-03-20
46,Move-In Cleaning,2025-04-13,2025-04-15
954,Post-Construction Cleanup,2025-02-10,2025-02-11
395,Deep Disinfection,2025-01-06,2025-01-07
67,Window Washing,2025-04-07,2025-04-09
67,Furniture Treatment,2025-04-22,2025-04-25
90,Post-Construction Cleanup,2025-01-29,2025-02-01
90,Furniture Treatment,2025-02-14,2025-02-16
90,Room Cleaning,2025-05-06,2025-05-09
910,Carpet Shampooing,2024-11-26,2024-11-28
1093,Bathroom Sanitizing,2025-01-20,2025-01-22
1093,Carpet Shampooing,2025-02-08,2025-02-11
795,Bathroom Sanitizing,2025-03-24,2025-03-26
795,Post-Construction Cleanup,2025-01-27,2025-01-28
897,Furniture Treatment,2025-02-18,2025-02-20
1191,Wall Washing,2024-12-05,2024-12-07
1106,Bathroom Sanitizing,2024-11-16,2024-11-19
1106,Post-Construction Cleanup,2025-02-06,2025-02-08
1106,Wall Washing,2025-03-02,2025-03-05
1024,Post-Construction Cleanup,2025-01-27,2025-01-29
89,Post-Construction Cleanup,2025-04-19,2025-04-21
207,Floor Polishing,2025-04-12,2025-04-13
207,Wall Washing,2025-04-14,2025-04-15
503,Furniture Treatment,2025-02-26,2025-02-27
538,Deep Disinfection,2025-01-01,2025-01-03
538,Wall Washing,2025-01-20,2025-01-23
538,Furniture Treatment,2025-02-18,2025-02-21
86,Post-Construction Cleanup,2025-01-16,2025-01-19
86,Wall Washing,2024-11-26,2024-11-28
820,Move-In Cleaning,2024-11-17,2024-11-19
820,Wall Washing,2024-12-02,2024-12-05
820,Carpet Shampooing,2024-11-19,2024-11-22
678,Post-Construction Cleanup,2025-01-24,2025-01-26
678,Window Washing,2025-01-31,2025-02-03
678,Move-In Cleaning,2024-11-29,2024-12-01
1077,Deep Disinfection,2025-03-21,2025-03-22
457,Furniture Treatment,2024-12-17,2024-12-18
87,Carpet Shampooing,2025-04-05,2025-04-06
87,Room Cleaning,2025-03-27,2025-03-29
87,Wall Washing,2024-11-16,2024-11-18
1165,Furniture Treatment,2025-03-06,2025-03-09
1165,Room Cleaning,2024-12-14,2024-12-17
1165,Floor Polishing,2025-04-12,2025-04-14
1097,Window Washing,2025-02-04,2025-02-05
1097,Deep Disinfection,2025-02-24,2025-02-27
1097,Bathroom Sanitizing,2025-05-02,2025-05-03
378,Carpet Shampooing,2025-04-20,2025-04-23
378,Post-Construction Cleanup,2024-12-17,2024-12-20
555,Wall Washing,2024-11-10,2024-11-12
555,Bathroom Sanitizing,2025-02-09,2025-02-11
157,Move-In Cleaning,2025-02-12,2025-02-13
56,Room Cleaning,2025-03-02,2025-03-04
56,Window Washing,2024-12-15,2024-12-18
56,Wall Washing,2025-01-12,2025-01-15
1166,Post-Construction Cleanup,2024-11-23,2024-11-24
1166,Wall Washing,2025-02-02,2025-02-03
1166,Bathroom Sanitizing,2025-04-27,2025-04-28
219,Post-Construction Cleanup,2025-03-13,2025-03-15
812,Carpet Shampooing,2025-03-09,2025-03-12
812,Window Washing,2025-03-27,2025-03-30
1173,Furniture Treatment,2025-02-10,2025-02-11
1173,Wall Washing,2025-04-26,2025-04-28
1173,Move-In Cleaning,2025-03-19,2025-03-21
125,Floor Polishing,2024-11-10,2024-11-11
125,Deep Disinfection,2025-04-01,2025-04-02
920,Bathroom Sanitizing,2024-12-27,2024-12-28
463,Bathroom Sanitizing,2025-01-17,2025-01-18
463,Wall Washing,2025-04-03,2025-04-06
463,Floor Polishing,2024-11-08,2024-11-09
870,Furniture Treatment,2025-02-19,2025-02-22
870,Deep Disinfection,2025-03-07,2025-03-08
870,Room Cleaning,2024-11-26,2024-11-29
545,Window Washing,2024-12-10,2024-12-13
545,Furniture Treatment,2025-03-05,2025-03-08
852,Wall Washing,2025-03-05,2025-03-07
161,Post-Construction Cleanup,2025-03-30,2025-04-02
161,Window Washing,2025-03-16,2025-03-18
161,Room Cleaning,2024-11-14,2024-11-16
181,Wall Washing,2025-04-03,2025-04-04
1022,Window Washing,2025-04-13,2025-04-15
1022,Bathroom Sanitizing,2025-01-04,2025-01-05
1080,Bathroom Sanitizing,2025-03-07,2025-03-09
1080,Deep Disinfection,2025-01-07,2025-01-08
1080,Room Cleaning,2024-11-13,2024-11-16
808,Window Washing,2025-01-11,2025-01-13
425,Move-In Cleaning,2025-03-03,2025-03-06
425,Bathroom Sanitizing,2024-12-23,2024-12-25
425,Floor Polishing,2025-05-01,2025-05-04
625,Room Cleaning,2024-11-14,2024-11-16
625,Window Washing,2025-04-14,2025-04-15
98,Bathroom Sanitizing,2025-03-08,2025-03-11
1168,Bathroom Sanitizing,2024-12-31,2025-01-02
571,Carpet Shampooing,2025-02-19,2025-02-20
488,Bathroom Sanitizing,2025-04-27,2025-04-28
364,Deep Disinfection,2025-02-12,2025-02-15
364,Carpet Shampooing,2025-04-07,2025-04-09
364,Furniture Treatment,2025-02-07,2025-02-10
248,Post-Construction Cleanup,2024-11-18,2024-11-21
248,Room Cleaning,2025-02-03,2025-02-05
248,Move-In Cleaning,2024-11-11,2024-11-14
601,Furniture Treatment,2025-02-14,2025-02-15
726,Move-In Cleaning,2025-04-08,2025-04-09
726,Carpet Shampooing,2024-12-09,2024-12-10
726,Window Washing,2025-04-02,2025-04-05
129,Window Washing,2024-12-22,2024-12-24
129,Move-In Cleaning,2025-02-23,2025-02-24
848,Furniture Treatment,2024-12-03,2024-12-05
848,Room Cleaning,2025-01-02,2025-01-05
848,Post-Construction Cleanup,2025-02-17,2025-02-20
1056,Move-In Cleaning,2024-11-16,2024-11-19
1056,Carpet Shampooing,2024-12-28,2024-12-29
1056,Furniture Treatment,2025-01-14,2025-01-17
972,Window Washing,2024-12-20,2024-12-21
972,Deep Disinfection,2024-11-09,2024-11-11
534,Wall Washing,2025-01-26,2025-01-29
534,Deep Disinfection,2025-04-01,2025-04-04
534,Window Washing,2025-02-02,2025-02-03
1132,Window Washing,2025-04-22,2025-04-24
68,Carpet Shampooing,2024-12-07,2024-12-10
68,Bathroom Sanitizing,2024-11-24,2024-11-26
68,Floor Polishing,2024-12-07,2024-12-10
357,Furniture Treatment,2024-11-14,2024-11-15
155,Deep Disinfection,2025-03-14,2025-03-17
1075,Furniture Treatment,2025-02-21,2025-02-23
1075,Bathroom Sanitizing,2025-02-27,2025-02-28
1075,Carpet Shampooing,2024-12-23,2024-12-25
976,Floor Polishing,2025-03-25,2025-03-28
1152,Deep Disinfection,2024-12-10,2024-12-12
975,Post-Construction Cleanup,2025-03-24,2025-03-27
788,Wall Washing,2025-02-28,2025-03-02
788,Furniture Treatment,2025-01-18,2025-01-20
269,Window Washing,2025-01-12,2025-01-15
269,Post-Construction Cleanup,2025-04-21,2025-04-23
269,Room Cleaning,2025-03-02,2025-03-05
930,Furniture Treatment,2025-02-13,2025-02-14
930,Floor Polishing,2025-01-03,2025-01-04
930,Wall Washing,2025-02-28,2025-03-01
790,Wall Washing,2025-04-13,2025-04-14
790,Furniture Treatment,2025-04-19,2025-04-22
385,Deep Disinfection,2024-11-27,2024-11-30
385,Wall Washing,2025-02-27,2025-03-01
385,Floor Polishing,2025-03-13,2025-03-14
366,Room Cleaning,2025-01-29,2025-02-01
366,Move-In Cleaning,2025-04-24,2025-04-25
973,Wall Washing,2025-04-11,2025-04-12
973,Bathroom Sanitizing,2025-02-16,2025-02-17
197,Wall Washing,2025-01-23,2025-01-26
197,Carpet Shampooing,2025-04-28,2025-04-29
6,Furniture Treatment,2024-12-05,2024-12-08
485,Post-Construction Cleanup,2025-01-10,2025-01-13
631,Furniture Treatment,2024-12-29,2024-12-30
705,Carpet Shampooing,2025-03-30,2025-04-02
418,Post-Construction Cleanup,2025-01-07,2025-01-08
1129,Window Washing,2025-04-25,2025-04-26
118,Carpet Shampooing,2025-03-21,2025-03-22
48,Wall Washing,2024-11-23,2024-11-25
48,Carpet Shampooing,2024-11-08,2024-11-09
913,Window Washing,2024-11-19,2024-11-21
913,Carpet Shampooing,2025-01-21,2025-01-24
335,Floor Polishing,2024-12-08,2024-12-11
1114,Room Cleaning,2025-02-26,2025-02-27
1114,Move-In Cleaning,2024-11-19,2024-11-21
1029,Bathroom Sanitizing,2025-01-21,2025-01-23
92,Floor Polishing,2025-01-18,2025-01-21
92,Deep Disinfection,2025-05-01,2025-05-03
92,Window Washing,2025-02-14,2025-02-15
623,Bathroom Sanitizing,2025-04-14,2025-04-15
623,Wall Washing,2025-03-08,2025-03-09
863,Move-In Cleaning,2025-03-15,2025-03-17
863,Carpet Shampooing,2025-04-13,2025-04-14
863,Deep Disinfection,2025-04-20,2025-04-23
429,Room Cleaning,2024-12-19,2024-12-21
429,Window Washing,2025-03-03,2025-03-04
347,Room Cleaning,2025-05-05,2025-05-06
347,Bathroom Sanitizing,2025-02-24,2025-02-25
347,Carpet Shampooing,2024-12-08,2024-12-11
479,Post-Construction Cleanup,2025-03-27,2025-03-28
148,Post-Construction Cleanup,2025-01-07,2025-01-10
148,Deep Disinfection,2025-04-26,2025-04-27
